省份,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
北京,0.4306250865757432,0.4147415189008666,0.5909267060922934,0.5835254672182454,0.3986229668208464,0.5400819569515893,0.5316046129102857,0.5646589960738216,0.5060798307751785,0.3477800216758005,0.3431713543680165,0.345313393358782
天津,0.19143091208026594,0.1854652796721033,0.2688785108039819,0.27175389594125476,0.185637210435794,0.25326096252205565,0.2335444185194413,0.22632709427702422,0.20750325679573117,0.14382615360040749,0.1391973004408911,0.14458649842101481
河北,0.20395701818684944,0.19929961291503898,0.3110565507319768,0.3265835254180813,0.22010740666791864,0.32774617929840766,0.312585579404694,0.3250254655593141,0.3110662764777693,0.20664170983841917,0.20212677345391836,0.2046320834957701
山西,0.10056804375321496,0.10456066945103785,0.1452181815051599,0.15050644049698797,0.0997811549039458,0.13944316496165038,0.12921612643699662,0.14138235580517075,0.14132681249292128,0.10289051511326387,0.104800790207057,0.10126782618382264
内蒙古,0.0955238329696406,0.6155930467703185,0.44302271336902116,0.44014967228070623,0.09054750783360069,0.29154318905251575,0.29398926200954434,0.2861156656249936,0.23796654396768557,0.0884894618498889,0.08987482037557193,0.08565683558514724
辽宁,0.10752688931278784,0.1063470636474678,0.15641195047861295,0.15623651819505444,0.10497531360802813,0.1378816361721095,0.13144999727381768,0.13032396372843638,0.12633452452136465,0.08845004633972285,0.08073690303315517,0.07892752473633399
吉林,0.06429076474456114,0.06348578032422325,0.1044187173122283,0.10609665539312299,0.06417949122812328,0.09747644774395317,0.09770955327839966,0.09637058023543013,0.08910126432009169,0.06612769111724881,0.06443780335199252,0.060728425485035244
黑龙江,0.06318691784357915,0.061488723549588474,0.170205690076705,0.24558190438745253,0.06081190300222413,0.24622969903061054,0.1919823788267747,0.2508673346142032,0.12870414730283364,0.05677879487557123,0.06462061934474089,0.057427737491437654
上海,0.19311611975796994,0.17955883486311805,0.2595799589261631,0.2585516225357903,0.17992457410716745,0.2534742657444028,0.24968202844750986,0.27035608048028076,0.2556261893465205,0.18065910524076262,0.1830074909438544,0.17570982940789082
江苏,0.20422701801715004,0.1962633609413086,0.2968181378202341,0.3090684840419877,0.19221186096596957,0.28401641411596473,0.26854104061833817,0.2986645927247607,0.314081938273485,0.2297121784527825,0.2418208553172483,0.24677861987980212
浙江,0.19769913119870167,0.18614320879538737,0.27660567142622955,0.2674688897950649,0.17207528524106203,0.2488997800263998,0.2470530030052569,0.28944366002443106,0.2946468284863904,0.2169527376207361,0.22990713217061834,0.24619050312998145
安徽,0.08025363565478111,0.08018019460757027,0.1188092538567254,0.12198729688711109,0.08083869007388544,0.11956255541758677,0.12318783571343615,0.12885355303203272,0.13269190028236316,0.09441714064230429,0.096914968934011,0.09840795482964168
福建,0.10098120815089792,0.09398757692032801,0.13506353771887544,0.13844782354584917,0.09021060083386155,0.12781901474972404,0.12934561600144,0.1401128029470267,0.14840226660022765,0.10586200476806121,0.10365777369341393,0.10629391644345094
江西,0.06054423438261351,0.06138266219184611,0.08745282992570724,0.09123280140978281,0.06297631826012455,0.09039483033593597,0.09815243250277256,0.09722260339656238,0.10292304684689044,0.07257186044322884,0.07692453178806144,0.0748947174237637
山东,0.141442767727423,0.1361884525022207,0.2037179202063444,0.2074842426072003,0.13330628682310147,0.18631069941156247,0.18009313847855,0.18632878579004114,0.18650607531608235,0.13413510041753404,0.14328300480244086,0.14333752284907716
河南,0.0844165048107327,0.08014980527011684,0.1230354758275731,0.12616068292351343,0.08579897364969628,0.11727346730847897,0.122321795882563,0.1259518797874699,0.1206953492173753,0.08631638244072337,0.08687858400540781,0.08594009184496236
湖北,0.08760626042005093,0.08460665976467605,0.12651709531827837,0.12937397182239851,0.08691877969830308,0.12390120402152131,0.12588419443815574,0.13551430459542274,0.13856859394703924,0.09375885814002238,0.09549068821570045,0.09622200105298735
